日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up
2018-10-19,54.38,64.35,5.25,7.02,0.0,11.14,1619.26,1619.26,73.37,66.64,73.85,66.64,8.44%
2018-10-18,50.15,59.34,4.85,6.48,0.0,11.14,1493.27,1493.27,67.66,68.32,71.01,65.16,-2.81%
2018-10-17,51.6,61.06,4.99,6.66,0.0,11.14,1536.51,1536.51,69.62,69.39,71.39,68.83,1.67%
2018-10-16,50.75,60.05,4.9,6.55,0.0,11.14,1511.27,1511.27,68.47,69.62,69.97,67.57,-0.43%
2018-10-15,50.97,60.32,4.93,6.58,0.0,11.14,1517.85,1517.85,68.77,68.42,68.77,67.51,10.01%
2018-10-12,46.34,54.83,4.48,5.98,0.0,11.14,1379.79,1379.79,62.52,60.12,62.81,60.05,3.99%
2018-10-11,44.56,52.73,4.31,5.75,0.0,11.14,1326.89,1326.89,60.12,61.54,63.12,59.18,-6.86%
2018-10-10,47.84,56.61,4.62,6.18,0.0,11.14,1424.57,1424.57,64.54,65.25,65.44,63.25,0.0%
2018-10-09,47.84,56.61,4.62,6.18,0.0,11.14,1424.57,1424.57,64.54,68.53,68.78,63.75,-5.19%
2018-10-08,50.46,59.71,4.88,6.52,0.0,11.14,1502.49,1502.49,68.07,71.49,71.49,67.43,-6.23%
2018-09-28,53.81,63.67,5.2,6.95,0.0,11.14,1602.36,1602.36,72.6,71.71,74.68,71.71,0.62%
2018-09-27,53.48,63.28,5.17,6.91,0.0,11.14,1592.49,1592.49,72.15,71.85,74.54,71.31,-0.47%
2018-09-26,53.73,63.58,5.19,6.94,0.0,11.14,1599.95,1599.95,72.49,68.28,73.1,68.28,6.67%
2018-09-25,50.37,59.6,4.87,6.5,0.0,11.14,1499.86,1499.86,67.96,68.03,68.92,67.34,-1.24%
2018-09-21,51.0,60.35,4.93,6.59,0.0,11.14,1518.73,1518.73,68.81,68.25,69.52,67.49,1.76%
2018-09-20,50.12,59.3,4.84,6.47,0.0,11.14,1492.39,1492.39,67.62,66.64,69.52,66.64,0.98%
2018-09-19,49.63,58.73,4.8,6.41,0.0,11.14,1477.91,1477.91,66.96,65.63,68.18,65.09,1.46%
2018-09-18,48.41,57.29,4.68,6.25,0.0,11.14,1441.63,1441.63,66.0,62.65,66.05,62.64,4.16%
2018-09-17,46.48,55.0,4.49,6.0,0.0,11.14,1384.06,1384.06,63.36,64.22,65.12,63.24,-3.32%
2018-09-14,48.08,56.89,4.65,6.21,0.0,11.14,1431.64,1431.64,65.54,65.94,68.62,65.5,1.7%
2018-09-13,47.27,55.94,4.57,6.1,0.0,11.14,1407.74,1407.74,64.44,65.28,65.74,63.04,0.47%
2018-09-12,47.06,55.68,4.55,6.08,0.0,11.14,1401.22,1401.22,64.15,62.46,64.89,62.27,3.08%
2018-09-11,45.65,54.02,4.41,5.89,0.0,11.14,1359.29,1359.29,62.23,61.06,62.81,61.06,1.99%
2018-09-10,44.76,52.96,4.32,5.78,0.0,11.14,1332.79,1332.79,61.01,63.21,63.44,60.67,-3.11%
2018-09-07,46.19,54.66,4.46,5.96,0.0,11.14,1375.59,1375.59,62.97,62.15,64.52,61.87,2.39%
2018-09-06,45.11,53.39,4.36,5.83,0.0,11.14,1343.44,1343.44,61.5,60.27,62.31,59.99,0.73%
2018-09-05,44.79,53.0,4.33,5.78,0.0,11.14,1333.66,1333.66,61.05,63.25,63.63,61.05,-3.85%
2018-09-04,46.58,55.12,4.5,6.01,0.0,11.14,1387.1,1387.1,63.5,62.85,63.9,62.42,0.93%
2018-09-03,46.15,54.61,4.46,5.96,0.0,11.14,1374.28,1374.28,62.91,64.44,64.44,60.67,-3.42%
2018-08-31,47.79,56.54,4.62,6.17,0.0,11.14,1422.95,1422.95,65.14,68.11,68.82,64.65,-6.42%
2018-08-30,51.06,60.42,4.93,6.59,0.0,11.14,1520.49,1520.49,69.61,72.79,73.59,69.25,-4.15%
2018-08-29,53.27,63.04,5.15,6.88,0.0,11.14,1586.31,1586.31,72.62,72.2,73.1,71.42,0.01%
2018-08-28,53.26,63.03,5.15,6.88,0.0,11.14,1586.1,1586.1,72.61,70.22,73.91,70.01,3.62%
2018-08-27,51.4,60.83,4.97,6.64,0.0,11.14,1530.7,1530.7,70.07,68.2,70.59,67.52,2.41%
2018-08-24,50.19,59.39,4.85,6.48,0.0,11.14,1494.64,1494.64,68.42,67.44,70.81,67.33,-0.43%
2018-08-23,34.89,54.11,5.97,6.75,0.0,17.12,1501.15,1501.15,68.72,67.28,69.27,66.71,2.42%
2018-08-22,34.06,52.84,5.83,6.59,0.0,17.12,1465.74,1465.74,67.1,68.68,69.86,66.84,-3.02%
